State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
California,Alameda,2017,365,189,162,9,4,1,0,205,76,49,0,14,110,0,241,0
California,Amador,2017,362,291,67,4,0,0,0,136,64,38,0,0,362,0,0,0
California,Butte,2017,365,152,189,23,1,0,0,154,94,57,0,0,218,0,145,2
California,Calaveras,2017,354,169,171,12,2,0,0,172,87,51,0,0,226,0,127,1
California,Colusa,2017,365,274,83,7,1,0,0,193,65,40,0,0,202,0,130,33
California,Contra Costa,2017,365,222,131,8,4,0,0,169,72,46,0,1,138,0,226,0
California,Del Norte,2017,298,270,26,0,1,1,0,226,49,20,0,0,0,0,298,0
California,El Dorado,2017,362,235,96,31,0,0,0,147,100,45,0,0,327,0,6,29
California,Fresno,2017,365,102,143,93,26,1,0,207,140,74,0,2,234,0,116,13
California,Glenn,2017,365,284,74,7,0,0,0,150,59,43,0,0,207,0,115,43
California,Humboldt,2017,364,316,40,5,3,0,0,173,56,35,0,1,258,0,94,11
California,Imperial,2017,365,112,211,37,2,2,1,331,104,61,0,2,171,0,100,92
California,Inyo,2017,365,204,136,16,3,0,6,2060,87,48,0,0,288,0,23,54
California,Kern,2017,365,76,150,115,24,0,0,197,140,84,0,0,253,0,99,13
California,Kings,2017,365,96,198,50,21,0,0,181,125,70,0,0,201,0,122,42
California,Lake,2017,362,350,10,1,1,0,0,166,44,35,0,0,350,0,10,2
California,Los Angeles,2017,365,38,207,74,38,8,0,224,156,77,0,28,169,0,168,0
California,Madera,2017,365,142,175,42,6,0,0,166,105,58,0,1,242,0,107,15
California,Marin,2017,365,290,67,5,3,0,0,161,57,38,0,11,143,0,211,0
California,Mariposa,2017,365,190,135,31,9,0,0,179,101,49,0,0,257,0,108,0
California,Mendocino,2017,365,273,84,7,1,0,0,188,66,39,0,0,185,0,176,4
California,Merced,2017,364,162,168,31,3,0,0,158,100,54,0,0,213,0,149,2
California,Mono,2017,365,303,37,5,1,4,15,3439,63,18,0,0,0,0,24,341
California,Monterey,2017,365,304,60,1,0,0,0,121,54,39,0,0,232,0,75,58
California,Napa,2017,364,229,121,7,5,2,0,249,67,44,0,1,113,0,250,0
California,Nevada,2017,365,200,84,62,19,0,0,185,133,49,0,0,353,0,12,0
California,Orange,2017,365,148,185,30,2,0,0,151,97,54,0,21,202,0,139,3
California,Placer,2017,365,210,121,32,2,0,0,156,100,47,0,1,300,0,63,1
California,Plumas,2017,351,221,105,17,8,0,0,179,89,35,0,0,0,0,351,0
California,Riverside,2017,365,52,162,100,43,6,2,366,161,87,0,1,234,0,91,39
California,Sacramento,2017,365,158,172,33,2,0,0,164,100,56,0,1,204,0,155,5
California,San Benito,2017,365,298,65,2,0,0,0,117,64,40,0,0,333,0,29,3
California,San Bernardino,2017,365,31,186,74,51,23,0,233,185,84,0,25,219,1,105,15
California,San Diego,2017,365,83,220,56,6,0,0,174,112,65,0,3,242,0,120,0
California,San Francisco,2017,365,276,82,7,0,0,0,136,63,38,0,47,131,0,187,0
California,San Joaquin,2017,365,185,147,33,0,0,0,146,100,50,0,3,198,0,149,15
California,San Luis Obispo,2017,365,143,214,8,0,0,0,133,80,54,0,0,211,0,111,43
California,San Mateo,2017,365,294,64,4,3,0,0,154,58,37,0,18,164,0,183,0
California,Santa Barbara,2017,365,247,101,6,9,2,0,281,74,44,0,0,253,0,98,14
California,Santa Clara,2017,365,240,113,9,3,0,0,182,74,44,0,16,201,0,148,0
California,Santa Cruz,2017,365,312,49,4,0,0,0,130,56,35,0,0,228,0,137,0
California,Shasta,2017,365,263,88,12,2,0,0,157,84,44,0,0,354,0,11,0
California,Siskiyou,2017,225,202,19,3,1,0,0,163,51,26,0,0,138,0,87,0
California,Solano,2017,365,244,111,5,5,0,0,175,71,44,0,3,199,0,163,0
California,Sonoma,2017,365,311,49,2,3,0,0,165,55,38,0,0,249,0,114,2
California,Stanislaus,2017,365,156,146,55,8,0,0,185,112,58,0,1,228,0,128,8
California,Sutter,2017,365,181,175,9,0,0,0,130,82,51,0,0,172,0,189,4
California,Tehama,2017,365,262,94,6,3,0,0,167,77,40,0,0,302,0,63,0
California,Trinity,2017,203,100,92,6,1,2,2,498,90,51,0,0,0,0,203,0
California,Tulare,2017,365,93,145,96,31,0,0,168,147,80,0,1,236,0,119,9
California,Tuolumne,2017,362,231,106,25,0,0,0,143,93,44,0,0,362,0,0,0
California,Ventura,2017,365,164,168,20,8,3,2,537,100,53,0,0,250,0,107,8
California,Yolo,2017,365,265,93,6,1,0,0,153,71,43,0,1,269,0,94,1
